label,text,text_clean
menu,Do you have a pizza with extra pepperoni?,
opening-times,Is this restaurant open on new year's day?,
opening-times,how much time you open?,
menu,Which pizza do you have?,
menu,Do you have a pizza for vegans?,
opening-times,What time are you open for orders?,
menu,Do you have small pizza?,
delivery,i need my delivery to arrive at 8pm,
menu,show me your pizza,
menu,I want to know if you have pizza for vegetarians,
opening-times,when are you open in christmas?,
opening-times,on holiday are you closed?,
opening-times,When are you open on Sundays?,
delivery,How much time does it takes to do a delivery on the morning?,
opening-times,what is your opening time in weekends ?,
complain,I ordered a pizza and an hour later it was still not here so I called and they said they were out of pizza and hung up on me. NEVER ORDER HERE AGAIN!,
complain,We get bread pizza in-state of thin one.,
menu,what other foods you have expect pizza?,
delivery,I have a question about your delivery,
menu,How much does extra cheese cost?,
complain,"I was told the order would arrive half a hour ago, why hasn't it arrived yet?",
delivery,the delivery status is not showing,
order,I want a large pizza and two medium.,
opening-times,When are you open on Friday?,
complain,The problem is the store wasn't exactly friendly,
complain,I ordered spicy pizza it came regular,
opening-times,how many hour are you open?,
menu,Do you have a pizza with extra cheese?,
order,I want a medium pizza and one extra large.,
menu,"Do you have a pizza with extra cheese, garlic, onions and olives and mushrooms?",
order,I want a medium pizza and three extra large.,
opening-times,When are you open on Saturday?,
complain,it was so spacy i had to drink an entrie mlik bottel. never buying pizza at your place again.,
opening-times,What time do you open your restaurant?,
opening-times,when does the pizza place open,
delivery,my order is taking so long.,
order,I want to order a pizza with pineapple,
opening-times,Do you open today?,
complain,Why it takes you so much time to deliver the pizza?,
order,I want a medium pizza.,
menu,Please show me the menu's options,
opening-times,When do you close?,
opening-times,what is your opening time?,
menu,Do you have a pizza with extra chicken?,
menu,what kind of cheese do you use on your pizza?,
delivery,do u make delivery to haifa?,
complain,"the pizza was disugusting, even the dogs didnt want to eat it.",
opening-times,are you open 24 hours?,
menu,What special offers do you have?,
opening-times,when is teh earlierst you open the resturant?,
complain,"I ordered with toppings and the pizza came with only onions, it's unacceptable!",
complain,The pizza that arrived was flavorless,
delivery,change delivery adress,
opening-times,when are you close this year?,
complain,We order the spsical pizza and we get the regular one.,
menu,What type of pizza do you have?,
opening-times,Do you open in Holidays ?,
menu,"Do you have a pizza with extra cheese, garlic, onions and olives?",
complain,"I'm feeling very angry, I want to complain!",
opening-times,What time can I order?,
delivery,can my delivery arrive at 18:30 please,
complain,im very displased with the pizza i got.,
opening-times,when are you open on memorial day?,
complain,I received someone else's pizza,
menu,Do you have crispy pizza?,
order,I want a medium pizza and three small.,
delivery,I'm looking for my pizza do you know where it is?,
order,I want to order a pizza,
complain,The pizza arrived cold and I hate it.,
delivery,when is my delivery arriving ?,
menu,What is the size of the smallest pizza?,
menu,Do you have a pizza with extra cheese and garlic?,
complain,I am angry! The pizza cam an hour late.,
order,I want to order a pizza with ham,
menu,What is the size of the extra extra large pizza?,
complain,The pizza came little a small amount of cheese,
complain,i got a pizza with meat and cheese on it and it said it was vegetarian.,
order,I want to order a pizza with anchovies and ham,
complain,the pizza came cold.,
complain,"very disappointed, the pizza came on hour late and cold.",
menu,"I'm a vegan, do you have a pizza for me?",
complain,"my pizza was so cold, i had to wait for it to warm up in the oven for a half hour before i could eat it.",
delivery,how long does it take for delivery to arrive at tel aviv?,
delivery,"if not home please put my delivery next to my door, thank you",
opening-times,In what hours you are open?,
order,"I want to order a pizza with anchovies, peppers and mushrooms",
complain,"I didn't received my pizza, I received someone else's pizza",
order,I want a small pizza and one family size.,
menu,Show me your special offers,
delivery,which delivery comapny do u work?,
order,I want to order a pizza with mushrooms,
complain,it was so bland i had to add salt to it.,
menu,Do you have non-kosher pizza?,
opening-times,Are you open on Saturday?,
complain,"the pizza had no taste, was not fresh.",
delivery,I want to order delivery in tel aviv,
menu,What is the size of the extra large pizza?,
opening-times,When are you open this week?,
order,I want to order a pizza with ham and mushrooms,
complain,too long to deliver the pizza,
order,I want a medium pizza and one small.,
delivery,how can i change my address for delivery?,
menu,I want to know what pizza types you have,
delivery,When my delivery will arrive???,
complain,We changed our order but we get the old order.,
menu,What pizza sizes do you have?,
menu,Is there a gluten free option on your menu?,
delivery,Do you know where is my pizza?,
complain,it left me traumatized after i took a bite of the pizza and i had stomach issuses for a week.,
order,I want a family size pizza and two extra large.,
order,I want a family size pizza and one small.,
order,I want Pizza Pepperoni please,
complain,"I hate your service, you are so slow",
menu,Do you have options for big types of pizza's?,
delivery,"i live in a block of flats, can i have my pizza left in the lobby?",
delivery,What is the delivery time?,
delivery,is the delivery on his way?,
opening-times,When are you close this week?,
opening-times,When are you open on Wednesday?,
opening-times,When are you open on Monday?,
